  Charge-charge screening following:
                 1             2             3             4             5
     40   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     41   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     42   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     43   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     44   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     45   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     46   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     47   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     48   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     49   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     50   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     51   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     52   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     53   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     54   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     55   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     56   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     57   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     58   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     59   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
     60   0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.100000D+01
                 6             7             8             9            10
      1   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
      2   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
      3   0.000000D+00  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
      4   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01
      5   0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01  0.100000D+01
      6   0.000000D+00  0.000000D+00  0.000000D+00  0.100000D+01  0.100000D+01
      7   0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      8   0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
      9   0.100000D+01  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     10   0.100000D+01  0.000000D+00  0.000000D+00  0.000000D+00  0.000000D+00
     11   0.100000D+01  0.100000D+01  0.000000D+00  0.100000D+01  0.000000D+00
     12   0.100000D+01  0.100000D+01  0.100000D+01  0.100000D+01  0.000000D+00
